<meta message track_name name='Sound 1' time=0>
<meta message instrument_name name='Microsoft GS ²¨±íÈí¼þºÏ³ÉÆ÷' time=0>
note_off channel=0 note=76 velocity=64 time=216
note_off channel=0 note=71 velocity=64 time=0
note_on channel=0 note=74 velocity=80 time=24
note_on channel=0 note=64 velocity=81 time=161
note_on channel=0 note=70 velocity=81 time=26
note_on channel=0 note=74 velocity=81 time=27
note_off channel=0 note=74 velocity=64 time=2
note_off channel=0 note=64 velocity=64 time=161
note_off channel=0 note=70 velocity=64 time=26
note_off channel=0 note=74 velocity=64 time=27
note_on channel=0 note=72 velocity=80 time=50
note_off channel=0 note=72 velocity=64 time=108
note_on channel=0 note=72 velocity=80 time=12
note_off channel=0 note=72 velocity=64 time=336
note_on channel=0 note=72 velocity=80 time=24
note_off channel=0 note=72 velocity=64 time=108
note_on channel=0 note=74 velocity=80 time=12
note_on channel=0 note=66 velocity=81 time=41
note_on channel=0 note=69 velocity=81 time=26
note_on channel=0 note=75 velocity=81 time=27
note_off channel=0 note=74 velocity=64 time=14
note_off channel=0 note=66 velocity=64 time=149
note_off channel=0 note=69 velocity=64 time=26
note_off channel=0 note=75 velocity=64 time=27
note_on channel=0 note=74 velocity=80 time=50
note_off channel=0 note=74 velocity=64 time=216
note_on channel=0 note=78 velocity=80 time=24
note_off channel=0 note=78 velocity=64 time=216
note_on channel=0 note=81 velocity=80 time=24
note_off channel=0 note=81 velocity=64 time=216
note_on channel=0 note=60 velocity=80 time=24
note_on channel=0 note=65 velocity=80 time=0
note_on channel=0 note=72 velocity=80 time=0
note_off channel=0 note=65 velocity=64 time=216
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=108
note_on channel=0 note=69 velocity=80 time=12
note_off channel=0 note=60 velocity=64 time=72
note_off channel=0 note=69 velocity=64 time=36
note_on channel=0 note=60 velocity=80 time=12
note_on channel=0 note=70 velocity=80 time=0
note_off channel=0 note=60 velocity=64 time=432
note_off channel=0 note=70 velocity=64 time=0
note_on channel=0 note=77 velocity=80 time=48
note_on channel=0 note=84 velocity=80 time=0
note_off channel=0 note=77 velocity=64 time=216
note_off channel=0 note=84 velocity=64 time=0
note_on channel=0 note=82 velocity=80 time=24
note_off channel=0 note=82 velocity=64 time=108
note_on channel=0 note=81 velocity=80 time=12
note_off channel=0 note=81 velocity=64 time=108
note_on channel=0 note=82 velocity=80 time=12
note_off channel=0 note=82 velocity=64 time=432
control_change channel=0 control=7 value=56 time=29
note_on channel=0 note=65 velocity=80 time=19
note_on channel=0 note=72 velocity=80 time=0
note_on channel=0 note=60 velocity=80 time=0
control_change channel=0 control=7 value=58 time=74
control_change channel=0 control=7 value=60 time=94
note_off channel=0 note=65 velocity=64 time=48
note_off channel=0 note=72 velocity=64 time=0
note_on channel=0 note=70 velocity=80 time=24
note_off channel=0 note=70 velocity=64 time=108
control_change channel=0 control=7 value=65 time=8
note_on channel=0 note=69 velocity=80 time=4
note_off channel=0 note=60 velocity=64 time=72
control_change channel=0 control=7 value=70 time=18
note_off channel=0 note=69 velocity=64 time=18
note_on channel=0 note=70 velocity=80 time=12
note_on channel=0 note=60 velocity=80 time=0
control_change channel=0 control=7 value=75 time=157
control_change channel=0 control=7 value=80 time=94
note_off channel=0 note=60 velocity=64 time=181
control_change channel=0 control=7 value=85 time=7
